transaction_id,clearing_mti,clearing_delay_hours,amount,amount_minor,settled_amount,settled_amount_minor,currency,interchange_fee_minor,mcc,merchant_id,mid,acquirer_bin
TX_00000000,0200,24,2380.9,238090,2380.9045002352846,238090,INR,4167,5541,M_5541_00064,MID_459110_000064,459110
TX_00000001,0200,60,891.08,89108,1830.94,183094,INR,3204,5542,M_5542_00053,MID_524180_000053,524180
TX_00000002,0200,37,1730.95,173095,1730.9533784823034,173095,INR,3029,5541,M_5541_00113,MID_459110_000113,459110
TX_00000003,0200,71,234.62,23462,2115.88,211588,INR,3703,5542,M_5542_00060,MID_400814_000060,400814
TX_00000004,0200,27,5086.19,508619,5086.185067641628,508619,INR,8901,5542,M_5542_00053,MID_524180_000053,524180
TX_00000005,0200,38,1495.89,149589,1495.8910743764523,149589,INR,2618,5541,M_5541_00113,MID_459110_000113,459110
TX_00000006,0200,71,814.2,81420,1572.95,157295,INR,2753,5542,M_5542_00121,MID_524180_000121,524180
TX_00000007,0200,63,2958.69,295869,1711.54,171154,INR,2995,5542,M_5542_00053,MID_524180_000053,524180
TX_00000008,0200,36,2500.51,250051,2500.507789492101,250051,INR,4376,5541,M_5541_00095,MID_459110_000095,459110
TX_00000009,0200,38,2201.5,220150,2201.4973523139797,220150,INR,3853,5812,M_5812_00021,MID_400814_000021,400814
TX_00000010,0200,66,806.8,80680,806.8040295954831,80680,INR,1412,5311,M_5311_00138,MID_607152_000138,607152
TX_00000011,0200,27,1878.9,187890,2207.34,220734,INR,3863,5812,M_5812_00021,MID_400814_000021,400814
TX_00000012,0200,29,2583.29,258329,2583.28956862536,258329,INR,4521,5812,M_5812_00021,MID_400814_000021,400814
TX_00000013,0200,42,1891.56,189156,3260.82,326082,INR,5706,5542,M_5542_00080,MID_400814_000080,400814
TX_00000014,0200,58,1450.65,145065,1450.6479083037575,145065,INR,2539,5912,M_5912_00117,MID_524180_000117,524180
TX_00000015,0200,53,1443.85,144385,1443.8491841770665,144385,INR,2527,5411,M_5411_00051,MID_400814_000051,400814
TX_00000016,0200,46,2116.44,211644,2116.4435699545784,211644,INR,3704,5411,M_5411_00051,MID_400814_000051,400814
TX_00000017,0200,66,525.6,52560,525.5959754094895,52560,INR,920,5411,M_5411_00098,MID_524180_000098,524180
TX_00000018,0200,66,1795.51,179551,1795.5055616983914,179551,INR,3142,5999,M_5999_00142,MID_459110_000142,459110
TX_00000019,0200,26,7980.75,798075,7980.753566576335,798075,INR,13966,5814,M_5814_00066,MID_524180_000066,524180
TX_00000020,0200,55,350.47,35047,350.46533738901417,35047,INR,613,5411,M_5411_00068,MID_524180_000068,524180
TX_00000021,0200,29,5492.18,549218,5492.178378160612,549218,INR,9611,5311,M_5311_00104,MID_459110_000104,459110
TX_00000022,0200,50,2633.78,263378,1736.6,173660,INR,3039,5542,M_5542_00053,MID_524180_000053,524180
TX_00000023,0200,66,2985.97,298597,2985.967989413869,298597,INR,5225,5814,M_5814_00125,MID_524180_000125,524180
