transaction_id,timestamp_utc,merchant_id,mid,tid,acquirer_bin,gateway_provider,client_ip,asn_type,ip_distance_from_home_km,device_canvas_hash,channel_type,avs_match_code,cvv_match_flag,geo_risk_score,is_cross_border
TX_00000000,2024-01-01T00:39:01.189978+00:00,M_5541_00064,MID_459110_000064,TID_0064,459110,PAYU,127.0.0.1,residential,5.4,f4438e67b0669e4f,CP_POS_CONTACTLESS,Y,1,0,False
TX_00000001,2024-01-01T01:09:58.278858+00:00,M_5542_00053,MID_524180_000053,TID_0053,524180,PAYU,127.0.0.1,residential,19.6,58812d2b6fabc96a,CP_POS_CHIP,Y,1,0,False
TX_00000002,2024-01-01T02:00:32.176404+00:00,M_5541_00113,MID_459110_000113,TID_0113,459110,CASHFREE,127.0.0.1,residential,9.76,cd82891b7bc152fa,CP_POS_CHIP,Y,1,0,False
TX_00000003,2024-01-01T02:01:49.699790+00:00,M_5542_00060,MID_400814_000060,TID_0060,400814,CASHFREE,127.0.0.1,residential,8.62,c7f95ab843a2b3b1,CP_POS_CHIP,Y,1,0,False
TX_00000004,2024-01-01T02:37:00.773553+00:00,M_5542_00053,MID_524180_000053,TID_0053,524180,PAYU,127.0.0.1,residential,13.71,05677d9f44f2ac11,CP_POS_CONTACTLESS,Y,1,0,False
TX_00000005,2024-01-01T02:39:37.797385+00:00,M_5541_00113,MID_459110_000113,TID_0113,459110,CASHFREE,127.0.0.1,residential,6.65,9bad403e361801a1,CP_POS_CONTACTLESS,Y,1,0,False
TX_00000006,2024-01-01T03:55:38.513139+00:00,M_5542_00121,MID_524180_000121,TID_0121,524180,RAZORPAY,127.0.0.1,residential,7.27,8cd1b52ab6ef38c4,CP_POS_CONTACTLESS,Y,1,0,False
TX_00000007,2024-01-01T04:10:38.602519+00:00,M_5542_00053,MID_524180_000053,TID_0053,524180,PAYU,127.0.0.1,residential,18.08,97ae2b05fb5bab4d,CP_POS_CHIP,Y,1,0,False
TX_00000008,2024-01-01T05:13:25.233914+00:00,M_5541_00095,MID_459110_000095,TID_0095,459110,CASHFREE,127.0.0.1,residential,9.93,07921675da309e3d,CP_POS_CHIP,Y,1,0,False
TX_00000009,2024-01-01T06:36:32.300861+00:00,M_5812_00021,MID_400814_000021,TID_0021,400814,CASHFREE,103.30.177.51,residential,16.64,eaaf136c0930676b,CNP_WEB,Y,1,0,False
TX_00000010,2024-01-01T06:50:45.709520+00:00,M_5311_00138,MID_607152_000138,TID_0138,607152,CASHFREE,127.0.0.1,residential,11.59,43bbdc61220ec850,CP_POS_CONTACTLESS,Y,1,0,False
TX_00000011,2024-01-01T06:55:08.026728+00:00,M_5812_00021,MID_400814_000021,TID_0021,400814,CASHFREE,103.32.130.33,residential,14.63,8f7f483b31ce1f0d,CNP_WEB,Y,1,0,False
TX_00000012,2024-01-01T06:55:53.362279+00:00,M_5812_00021,MID_400814_000021,TID_0021,400814,CASHFREE,103.197.163.102,residential,7.28,fbc32009788f7723,CNP_WEB,Y,1,0,False
TX_00000013,2024-01-01T07:19:40.395011+00:00,M_5542_00080,MID_400814_000080,TID_0080,400814,CASHFREE,127.0.0.1,residential,10.67,8eebf064530e80b6,CP_POS_CHIP,Y,1,0,False
TX_00000014,2024-01-01T07:47:14.803675+00:00,M_5912_00117,MID_524180_000117,TID_0117,524180,PAYU,127.0.0.1,residential,18.66,cdd1d3ab53a91d1e,CP_POS_CONTACTLESS,Y,1,0,False
TX_00000015,2024-01-01T08:48:52.538478+00:00,M_5411_00051,MID_400814_000051,TID_0051,400814,PAYU,127.0.0.1,residential,19.12,b3fddc29e2b260d9,CP_POS_CONTACTLESS,Y,1,0,False
TX_00000016,2024-01-01T08:58:57.438241+00:00,M_5411_00051,MID_400814_000051,TID_0051,400814,PAYU,103.207.225.17,residential,7.54,1c335c75c1ff7c06,CNP_WEB,Y,1,0,False
TX_00000017,2024-01-01T11:52:49.444982+00:00,M_5411_00098,MID_524180_000098,TID_0098,524180,CASHFREE,127.0.0.1,residential,13.54,e7bd7dd0064cd232,CP_POS_CHIP,Y,1,0,False
TX_00000018,2024-01-01T14:35:56.266580+00:00,M_5999_00142,MID_459110_000142,TID_0142,459110,RAZORPAY,127.0.0.1,residential,7.8,2205adb5595dfc5c,CP_POS_CHIP,Y,1,0,False
TX_00000019,2024-01-01T14:46:21.980938+00:00,M_5814_00066,MID_524180_000066,TID_0066,524180,CASHFREE,127.0.0.1,residential,16.56,772bf5343d536110,CP_POS_CHIP,Y,1,0,False
TX_00000020,2024-01-01T17:14:50.304421+00:00,M_5411_00068,MID_524180_000068,TID_0068,524180,BILLDESK,127.0.0.1,residential,8.63,7803835aae622676,CP_POS_CHIP,Y,1,0,False
TX_00000021,2024-01-01T18:55:03.020528+00:00,M_5311_00104,MID_459110_000104,TID_0104,459110,CASHFREE,127.0.0.1,residential,16.21,88da88720169e1fb,CP_POS_CHIP,Y,1,0,False
TX_00000022,2024-01-01T20:43:01.011190+00:00,M_5542_00053,MID_524180_000053,TID_0053,524180,PAYU,127.0.0.1,residential,2.91,275738f2efffd086,CP_POS_CHIP,Y,1,0,False
TX_00000023,2024-01-01T20:46:49.625994+00:00,M_5814_00125,MID_524180_000125,TID_0125,524180,PAYU,127.0.0.1,residential,2.13,6393fd816cff0358,CP_POS_CONTACTLESS,Y,1,0,False
TX_00000024,2024-01-01T21:28:59.924284+00:00,M_5812_00102,MID_607152_000102,TID_0102,607152,BILLDESK,127.0.0.1,residential,7.68,af762835707e8c23,CP_POS_CHIP,Y,1,0,False
TX_00000025,2024-01-01T21:55:21.743113+00:00,M_5812_00021,MID_400814_000021,TID_0021,400814,CASHFREE,127.0.0.1,residential,16.13,381a05085034cf00,CP_POS_CHIP,Y,1,0,False
TX_00000026,2024-01-01T22:40:41.212278+00:00,M_5999_00142,MID_459110_000142,TID_0142,459110,RAZORPAY,103.178.90.18,residential,8.12,6d19daf2b8175c88,CNP_MOBILE,Y,1,0,False
TX_00000027,2024-01-01T22:58:44.368719+00:00,M_5999_00142,MID_459110_000142,TID_0142,459110,RAZORPAY,127.0.0.1,residential,15.26,8faf689da43cf14c,CP_POS_CHIP,Y,1,0,False
