transaction_id,clearing_mti,clearing_delay_hours,amount,amount_minor,settled_amount,settled_amount_minor,currency,interchange_fee_minor,mcc,merchant_id,mid,acquirer_bin
TX_00000000,0200,32,67.75,6775,57.37,5737,USD,100,5542,M_5542_00077,MID_370001_000077,370001
TX_00000001,0200,53,9.79,979,9.785624371412109,979,USD,17,5541,M_5541_00019,MID_412800_000019,412800
TX_00000002,0200,54,13.22,1322,13.216854819399016,1322,USD,23,5541,M_5541_00120,MID_370001_000120,370001
TX_00000003,0200,65,58.12,5812,58.12208179391414,5812,USD,102,5541,M_5541_00143,MID_541234_000143,541234
TX_00000004,0200,40,147.48,14748,42.1,4210,USD,74,5542,M_5542_00053,MID_412800_000053,412800
TX_00000005,0200,54,205.39,20539,60.45,6045,USD,106,5542,M_5542_00053,MID_412800_000053,412800
TX_00000006,0200,28,47.7,4770,47.699612817583265,4770,USD,83,5541,M_5541_00113,MID_400012_000113,400012
TX_00000007,0200,54,248.81,24881,31.01,3101,USD,54,5542,M_5542_00053,MID_412800_000053,412800
TX_00000008,0200,67,244.93,24493,244.92998917392285,24493,USD,429,5912,M_5912_00091,MID_400012_000091,400012
TX_00000009,0200,63,94.62,9462,94.6188869412776,9462,USD,166,5814,M_5814_00026,MID_370001_000026,370001
TX_00000010,0200,57,27.84,2784,27.841196417064356,2784,USD,49,5999,M_5999_00142,MID_400012_000142,400012
TX_00000011,0200,65,19.13,1913,22.34,2234,USD,39,5812,M_5812_00021,MID_370001_000021,370001
TX_00000012,0200,55,61.1,6110,68.02,6802,USD,119,5812,M_5812_00021,MID_370001_000021,370001
TX_00000013,0200,34,91.52,9152,91.52300269446108,9152,USD,160,5999,M_5999_00142,MID_400012_000142,400012
TX_00000014,0200,40,25.1,2510,25.10127369958644,2510,USD,44,5999,M_5999_00142,MID_400012_000142,400012
TX_00000015,0200,36,30.51,3051,30.512260457886082,3051,USD,53,5999,M_5999_00031,MID_370001_000031,370001
TX_00000016,0200,69,40.99,4099,33.6,3360,USD,59,5542,M_5542_00053,MID_412800_000053,412800
TX_00000017,0200,58,21.7,2170,21.697963303643206,2170,USD,38,5999,M_5999_00142,MID_400012_000142,400012
TX_00000018,0200,57,29.42,2942,29.422799408170413,2942,USD,51,5999,M_5999_00142,MID_400012_000142,400012
TX_00000019,0200,34,27.86,2786,27.864650511182933,2786,USD,49,5411,M_5411_00058,MID_541234_000058,541234
TX_00000020,0200,62,53.8,5380,53.80314333685162,5380,USD,94,5814,M_5814_00078,MID_412800_000078,412800
TX_00000021,0200,29,34.69,3469,34.6856167760748,3469,USD,61,5411,M_5411_00130,MID_400012_000130,400012
TX_00000022,0200,36,104.59,10459,104.59257914075535,10459,USD,183,5311,M_5311_00052,MID_400012_000052,400012
TX_00000023,0200,35,28.04,2804,28.035051597476162,2804,USD,49,5541,M_5541_00113,MID_400012_000113,400012
TX_00000024,0200,45,70.72,7072,83.72,8372,USD,147,5812,M_5812_00102,MID_541234_000102,541234
TX_00000025,0200,35,141.16,14116,141.15563707225857,14116,USD,247,5411,M_5411_00015,MID_541234_000015,541234
TX_00000026,0200,60,41.75,4175,41.750265723635856,4175,USD,73,5999,M_5999_00142,MID_400012_000142,400012
TX_00000027,0200,33,50.57,5057,50.571596452215694,5057,USD,89,5311,M_5311_00116,MID_412800_000116,412800
TX_00000028,0200,66,55.24,5524,55.24284603673426,5524,USD,97,5311,M_5311_00116,MID_412800_000116,412800
TX_00000029,0200,40,89.78,8978,89.77504926241039,8978,USD,157,5541,M_5541_00113,MID_400012_000113,400012
TX_00000030,0200,53,35.79,3579,35.7892373647891,3579,USD,63,5541,M_5541_00113,MID_400012_000113,400012
TX_00000031,0200,49,127.05,12705,127.05150553250927,12705,USD,222,5541,M_5541_00113,MID_400012_000113,400012
TX_00000032,0200,31,199.19,19919,199.19398366494508,19919,USD,349,4816,M_4816_00011,MID_400012_000011,400012
TX_00000033,0200,39,28.0,2800,33.56,3356,USD,59,5812,M_5812_00145,MID_541234_000145,541234
TX_00000034,0200,66,30.57,3057,33.83,3383,USD,59,5812,M_5812_00021,MID_370001_000021,370001
TX_00000035,0200,59,42.99,4299,42.99200614794195,4299,USD,75,5814,M_5814_00065,MID_541234_000065,541234
TX_00000036,0200,64,21.73,2173,21.730415288248047,2173,USD,38,5541,M_5541_00113,MID_400012_000113,400012
TX_00000037,0200,44,25.8,2580,25.803773097138237,2580,USD,45,5411,M_5411_00028,MID_541234_000028,541234
TX_00000038,0200,71,234.34,23434,37.92,3792,USD,66,5542,M_5542_00053,MID_412800_000053,412800
TX_00000039,0200,54,245.62,24562,245.62395768857613,24562,USD,430,5411,M_5411_00097,MID_412800_000097,412800
TX_00000040,0200,61,45.9,4590,51.9,5190,USD,91,5812,M_5812_00081,MID_370001_000081,370001
TX_00000041,0200,53,23.79,2379,23.787231945059645,2379,USD,42,5411,M_5411_00028,MID_541234_000028,541234
TX_00000042,0200,59,0.91,91,0.91,91,USD,2,5411,M_5411_00068,MID_412800_000068,412800
TX_00000043,0200,59,23.91,2391,23.905930848307438,2391,USD,42,5999,M_5999_00142,MID_400012_000142,400012
TX_00000044,0200,39,102.81,10281,102.80999541699536,10281,USD,180,5311,M_5311_00052,MID_400012_000052,400012
