transaction_id,card_id,merchant_id,syndicate_id,botnet_cluster_id,mule_ring_id,beneficiary_account_id,ip_subnet_prefix,device_fingerprint_id
TX_00000000,CARD_000126,M_6513_00022,,,,,,
TX_00000001,CARD_000126,M_5411_00008,,,,,,
TX_00000002,CARD_000401,M_5999_00142,,,,,,
TX_00000003,CARD_000401,M_5411_00058,,,,,,
TX_00000004,CARD_000401,M_5411_00027,,,,,,
TX_00000005,CARD_000401,M_4816_00011,,,,,,
TX_00000006,CARD_000401,M_5732_00082,,,,,,
TX_00000007,CARD_000401,M_6051_00023,,,,,,
TX_00000008,CARD_000493,M_5812_00021,,,,,,
TX_00000009,CARD_000493,M_5812_00021,,,,,,
TX_00000010,CARD_000690,M_5812_00021,,,,,,
TX_00000011,CARD_000690,M_4816_00131,,,,,,
TX_00000012,CARD_000493,M_5812_00021,,,,,,
TX_00000013,CARD_000493,M_5912_00029,,,,,,
TX_00000014,CARD_000690,M_5999_00142,,,,,,
TX_00000015,CARD_000690,M_5541_00113,,,,,,
TX_00000016,CARD_000493,M_5812_00021,,,,,,
TX_00000017,CARD_000148,M_5411_00051,SYN_US_CARDING_BOT,BOTNET_US_CHECKER_01,MULE_US_SMURF_CHASE_01,MULE_CHASE_00102,198.54.130.0/24,DEV_CHECKER_BOT_021
TX_00000018,CARD_000690,M_4816_00011,,,,,,
TX_00000019,CARD_000690,M_5541_00113,,,,,,
TX_00000020,CARD_000493,M_5541_00113,,,,,,
TX_00000021,CARD_000493,M_5541_00113,,,,,,
TX_00000022,CARD_000493,M_5812_00021,,,,,,
TX_00000023,CARD_000690,M_5812_00021,,,,,,
TX_00000024,CARD_000690,M_5812_00102,,,,,,
TX_00000025,CARD_000153,M_5814_00110,,,,,,
TX_00000026,CARD_000153,M_5541_00113,,,,,,
TX_00000027,CARD_000153,M_5812_00093,,,,,,
TX_00000028,CARD_000933,M_5541_00019,,,,,,
TX_00000029,CARD_000933,M_5541_00019,,,,,,
TX_00000030,CARD_000153,M_5812_00093,,,,,,
TX_00000031,CARD_000933,M_5541_00019,,,,,,
TX_00000032,CARD_000153,M_5999_00142,,,,,,
TX_00000033,CARD_000933,M_5541_00019,,,,,,
TX_00000034,CARD_000933,M_5411_00084,,,,,,
TX_00000035,CARD_000933,M_5411_00084,,,,,,
TX_00000036,CARD_000933,M_5411_00084,,,,,,
TX_00000037,CARD_000933,M_5411_00084,,,,,,
TX_00000038,CARD_000054,M_5411_00015,,,,,,
TX_00000039,CARD_000054,M_5411_00015,,,,,,
